0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,7.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,
inf,0,inf,inf,inf,14.0,inf,9.0,inf,inf,inf,inf,inf,inf,9.0,inf,4.0,inf,0.0,inf,inf,inf,inf,14.0,12.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,3.0,inf,inf,inf,inf,9.0,inf,inf,inf,inf,inf,inf,inf,13.0,4.0,13.0,inf,12.0,4.0,inf,inf,5.0,inf,inf,9.0,inf,inf,inf,inf,inf,4.0,4.0,6.0,17.0,inf,inf,inf,inf,6.0,inf,inf,inf,5.0,inf,inf,1.0,inf,4.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,9.0,inf,7.0,inf,inf,inf,inf,inf,
7.0,inf,0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,
inf,20.0,inf,0,inf,18.0,inf,inf,8.0,inf,17.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,17.0,inf,inf,24.0,inf,24.0,inf,inf,inf,17.0,inf,inf,inf,28.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,29.0,inf,inf,inf,inf,inf,inf,inf,30.0,inf,inf,26.0,inf,22.0,inf,inf,inf,17.0,inf,inf,inf,inf,inf,inf,inf,21.0,inf,inf,23.0,inf,inf,inf,inf,inf,18.0,19.0,inf,inf,inf,inf,inf,
inf,inf,inf,inf,0,inf,inf,14.0,inf,inf,inf,13.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,19.0,inf,13.0,inf,7.0,inf,inf,inf,inf,inf,15.0,inf,7.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,18.0,inf,inf,inf,17.0,inf,inf,inf,inf,inf,5.0,20.0,inf,inf,inf,inf,inf,9.0,9.0,inf,22.0,inf,inf,inf,inf,17.0,inf,13.0,inf,12.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,14.0,inf,14.0,inf,inf,inf,inf,inf,
inf,inf,inf,4.0,15.0,0,inf,30.0,inf,inf,inf,inf,4.0,inf,12.0,inf,28.0,inf,inf,inf,inf,inf,2.0,17.0,15.0,14.0,inf,5.0,inf,13.0,inf,inf,inf,inf,6.0,inf,inf,inf,inf,5.0,8.0,inf,inf,15.0,inf,inf,inf,16.0,7.0,14.0,28.0,inf,7.0,inf,inf,8.0,inf,inf,12.0,inf,inf,inf,inf,inf,inf,inf,9.0,38.0,inf,inf,inf,inf,13.0,11.0,inf,inf,8.0,inf,inf,inf,inf,inf,inf,24.0,inf,inf,22.0,inf,8.0,inf,inf,inf,30.0,inf,10.0,inf,inf,inf,inf,inf,
inf,inf,inf,inf,14.0,inf,0,inf,inf,inf,inf,inf,inf,inf,inf,4.0,7.0,inf,9.0,inf,inf,inf,inf,6.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,7.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,1.0,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,
inf,inf,inf,inf,inf,1.0,inf,0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,24.0,inf,inf,inf,inf,inf,inf,inf,inf,9.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,16.0,inf,inf,inf,inf,inf,inf,inf,inf,22.0,inf,inf,inf,17.0,inf,inf,inf,7.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,19.0,inf,inf,inf,inf,inf,
inf,12.0,inf,inf,inf,10.0,inf,inf,0,inf,9.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,9.0,inf,inf,16.0,inf,16.0,inf,inf,inf,9.0,inf,inf,inf,20.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,21.0,inf,inf,inf,inf,inf,inf,inf,22.0,inf,inf,18.0,inf,14.0,inf,inf,inf,9.0,inf,inf,inf,inf,inf,inf,inf,13.0,inf,inf,15.0,inf,inf,inf,inf,inf,10.0,11.0,inf,inf,inf,inf,inf,
inf,inf,inf,inf,inf,inf,inf,inf,inf,0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,23.0,inf,17.0,inf,inf,inf,inf,inf,inf,inf,6.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,8.0,inf,inf,inf,inf,inf,9.0,inf,inf,inf,inf,inf,inf,1.0,0.0,inf,inf,inf,inf,inf,inf,21.0,inf,inf,inf,16.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,18.0,inf,inf,inf,inf,inf,
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,11.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,12.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,4.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,
inf,inf,inf,inf,inf,13.0,inf,11.0,inf,inf,inf,0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,7.0,inf,inf,19.0,inf,inf,4.0,inf,inf,inf,inf,inf,12.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,15.0,inf,inf,inf,14.0,22.0,inf,inf,inf,inf,inf,8.0,inf,inf,inf,inf,inf,6.0,6.0,inf,19.0,inf,inf,inf,inf,inf,16.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,11.0,inf,inf,inf,inf,inf,inf,inf,
inf,inf,inf,13.0,11.0,13.0,inf,26.0,inf,inf,inf,inf,0,inf,8.0,inf,24.0,inf,inf,inf,inf,inf,inf,13.0,11.0,inf,inf,1.0,inf,9.0,inf,inf,inf,inf,2.0,inf,inf,inf,inf,1.0,4.0,inf,inf,11.0,inf,inf,inf,12.0,3.0,10.0,24.0,inf,3.0,inf,inf,4.0,inf,inf,8.0,inf,inf,inf,inf,inf,inf,inf,5.0,34.0,inf,inf,inf,inf,9.0,inf,inf,inf,4.0,inf,inf,inf,inf,inf,inf,20.0,inf,inf,18.0,inf,4.0,inf,inf,inf,26.0,inf,6.0,inf,inf,inf,inf,inf,
inf,12.0,inf,inf,inf,10.0,inf,inf,inf,inf,inf,inf,inf,0,inf,inf,13.0,inf,inf,inf,inf,inf,inf,inf,16.0,inf,inf,inf,inf,inf,9.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,15.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,9.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,14.0,inf,inf,inf,9.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,7.0,inf,inf,inf,inf,inf,inf,10.0,11.0,inf,inf,inf,inf,inf,
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,10.0,inf,inf,inf,inf,13.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,8.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,7.0,inf,inf,inf,inf,inf,inf,inf,inf,5.0,inf,inf,inf,inf,inf,
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,9.0,inf,20.0,inf,18.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,12.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,
inf,inf,inf,inf,7.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,
inf,inf,inf,inf,16.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,13.0,inf,inf,0,inf,inf,inf,inf,inf,16.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,15.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,5.0,inf,16.0,8.0,14.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,8.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,8.0,inf,inf,inf,inf,inf,inf,inf,inf,16.0,inf,inf,
